ts,elapsed_s,index,util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026-09-01 02:54:45,90053,0,100,7368,24576,52,247.88
2026-09-01 02:54:51,90059,0,100,7368,24576,52,246.66
2026-09-01 02:54:56,90064,0,100,7368,24576,52,246.04
2026-09-01 02:55:01,90069,0,100,7368,24576,52,247.17
2026-09-01 02:55:06,90074,0,100,7368,24576,52,248.79
2026-09-01 02:55:11,90079,0,100,7368,24576,53,248.82
2026-09-01 02:55:16,90084,0,100,7368,24576,53,247.71
2026-09-01 02:55:21,90089,0,99,7368,24576,52,246.25
2026-09-01 02:55:26,90094,0,100,7368,24576,52,246.29
2026-09-01 02:55:31,90099,0,100,7368,24576,52,246.60
2026-09-01 02:55:36,90104,0,100,7368,24576,52,248.40
2026-09-01 02:55:41,90109,0,100,7368,24576,52,248.50
2026-09-01 02:55:46,90114,0,100,7368,24576,52,247.95
2026-09-01 02:55:52,90120,0,100,7368,24576,53,247.37
2026-09-01 02:55:57,90125,0,100,7368,24576,52,245.48
2026-09-01 02:56:02,90130,0,100,7368,24576,52,246.25
2026-09-01 02:56:07,90135,0,100,7368,24576,52,248.09
2026-09-01 02:56:12,90140,0,100,7368,24576,52,248.64
2026-09-01 02:56:17,90145,0,100,7368,24576,52,248.26
2026-09-01 02:56:22,90150,0,100,7368,24576,53,246.87
2026-09-01 02:56:27,90155,0,100,7368,24576,52,245.77
2026-09-01 02:56:32,90160,0,100,7368,24576,52,246.47
2026-09-01 02:56:37,90165,0,100,7368,24576,52,247.83
2026-09-01 02:56:42,90170,0,100,7368,24576,52,248.68
2026-09-01 02:56:47,90175,0,100,7368,24576,53,248.20
2026-09-01 02:56:52,90180,0,100,7368,24576,53,247.09
2026-09-01 02:56:57,90185,0,100,7368,24576,52,246.34
2026-09-01 02:57:03,90191,0,100,7368,24576,52,246.75
2026-09-01 02:57:08,90196,0,100,7368,24576,52,248.70
2026-09-01 02:57:13,90201,0,100,7368,24576,52,248.87
2026-09-01 02:57:18,90206,0,100,7368,24576,52,247.88
2026-09-01 02:57:23,90211,0,99,7368,24576,52,246.53
2026-09-01 02:57:28,90216,0,100,7368,24576,52,246.00
2026-09-01 02:57:33,90221,0,100,7368,24576,52,246.95
2026-09-01 02:57:38,90226,0,100,7368,24576,52,248.24
2026-09-01 02:57:43,90231,0,100,7368,24576,52,248.74
2026-09-01 02:57:48,90236,0,100,7368,24576,52,247.81
2026-09-01 02:57:53,90241,0,99,7368,24576,52,246.48
2026-09-01 02:57:58,90246,0,100,7368,24576,52,246.06
2026-09-01 02:58:03,90251,0,100,7368,24576,52,247.59
2026-09-01 02:58:08,90256,0,100,7368,24576,52,248.52
2026-09-01 02:58:13,90261,0,100,7368,24576,52,248.63
2026-09-01 02:58:19,90267,0,100,7368,24576,53,247.56
2026-09-01 02:58:24,90272,0,100,7368,24576,52,246.12
2026-09-01 02:58:29,90277,0,100,7368,24576,52,245.90
2026-09-01 02:58:34,90282,0,100,7368,24576,52,247.98
2026-09-01 02:58:39,90287,0,100,7368,24576,52,248.50
2026-09-01 02:58:44,90292,0,100,7368,24576,52,248.46
2026-09-01 02:58:49,90297,0,100,7368,24576,52,247.70
2026-09-01 02:58:54,90302,0,100,7368,24576,52,244.89
2026-09-01 02:58:59,90307,0,100,7368,24576,52,246.42
2026-09-01 02:59:04,90312,0,100,7368,24576,52,247.70
2026-09-01 02:59:09,90317,0,100,7368,24576,52,248.65
2026-09-01 02:59:14,90322,0,100,7368,24576,53,248.09
2026-09-01 02:59:19,90327,0,100,7368,24576,53,247.38
2026-09-01 02:59:24,90332,0,100,7368,24576,52,245.86
2026-09-01 02:59:29,90337,0,100,7368,24576,52,246.53
2026-09-01 02:59:35,90343,0,100,7368,24576,52,248.30
2026-09-01 02:59:40,90348,0,100,7368,24576,52,248.87
2026-09-01 02:59:45,90353,0,100,7368,24576,53,247.95
2026-09-01 02:59:50,90358,0,99,7368,24576,52,247.01
2026-09-01 02:59:55,90363,0,100,7368,24576,52,246.24
2026-09-01 03:00:00,90368,0,100,7368,24576,52,246.72
2026-09-01 03:00:05,90373,0,100,7368,24576,52,248.98
2026-09-01 03:00:10,90378,0,100,7368,24576,52,248.96
2026-09-01 03:00:15,90383,0,100,7368,24576,52,248.11
2026-09-01 03:00:20,90388,0,99,7368,24576,52,246.84
2026-09-01 03:00:25,90393,0,100,7368,24576,52,246.21
2026-09-01 03:00:30,90398,0,100,7368,24576,52,246.91
2026-09-01 03:00:35,90403,0,100,7368,24576,52,248.72
2026-09-01 03:00:40,90408,0,100,7368,24576,52,248.99
2026-09-01 03:00:46,90414,0,100,7368,24576,52,247.85
2026-09-01 03:00:51,90419,0,99,7368,24576,52,246.31
2026-09-01 03:00:56,90424,0,100,7368,24576,52,246.28
2026-09-01 03:01:01,90429,0,100,7368,24576,52,247.05
2026-09-01 03:01:06,90434,0,100,7368,24576,52,248.51
2026-09-01 03:01:11,90439,0,100,7368,24576,52,248.55
2026-09-01 03:01:16,90444,0,100,7368,24576,52,247.88
2026-09-01 03:01:21,90449,0,99,7368,24576,52,246.51
2026-09-01 03:01:26,90454,0,100,7368,24576,52,245.95
2026-09-01 03:01:31,90459,0,100,7368,24576,52,247.61
2026-09-01 03:01:36,90464,0,100,7368,24576,52,248.81
2026-09-01 03:01:41,90469,0,100,7368,24576,52,248.77
2026-09-01 03:01:46,90474,0,100,7368,24576,52,247.87
2026-09-01 03:01:51,90479,0,99,7368,24576,52,246.29
2026-09-01 03:01:56,90484,0,100,7368,24576,52,246.52
2026-09-01 03:02:02,90490,0,100,7368,24576,52,248.06
2026-09-01 03:02:07,90495,0,100,7368,24576,52,248.54
2026-09-01 03:02:12,90500,0,100,7368,24576,52,248.27
2026-09-01 03:02:17,90505,0,100,7368,24576,52,247.32
2026-09-01 03:02:22,90510,0,99,7368,24576,52,245.73
2026-09-01 03:02:27,90515,0,100,7368,24576,52,246.17
2026-09-01 03:02:32,90520,0,100,7368,24576,52,247.58
2026-09-01 03:02:37,90525,0,100,7368,24576,52,248.94
2026-09-01 03:02:42,90530,0,100,7368,24576,52,248.29
2026-09-01 03:02:47,90535,0,100,7368,24576,52,247.82
2026-09-01 03:02:52,90540,0,100,7368,24576,52,246.04
2026-09-01 03:02:57,90545,0,100,7368,24576,52,246.61
2026-09-01 03:03:02,90550,0,100,7368,24576,52,247.87
2026-09-01 03:03:07,90555,0,100,7368,24576,52,248.69
2026-09-01 03:03:13,90561,0,100,7368,24576,52,247.86
2026-09-01 03:03:18,90566,0,100,7368,24576,52,247.04
2026-09-01 03:03:23,90571,0,100,7368,24576,52,244.93
2026-09-01 03:03:28,90576,0,100,7368,24576,52,246.12
2026-09-01 03:03:33,90581,0,100,7368,24576,52,247.82
2026-09-01 03:03:38,90586,0,100,7368,24576,52,248.73
2026-09-01 03:03:43,90591,0,100,7368,24576,52,248.03
2026-09-01 03:03:48,90596,0,100,7368,24576,52,246.43
2026-09-01 03:03:53,90601,0,100,7368,24576,52,245.72
2026-09-01 03:03:58,90606,0,100,7368,24576,52,246.35
2026-09-01 03:04:03,90611,0,100,7368,24576,52,248.41
2026-09-01 03:04:08,90616,0,100,7368,24576,52,248.94
2026-09-01 03:04:13,90621,0,100,7368,24576,52,247.70
2026-09-01 03:04:18,90626,0,99,7368,24576,52,246.23
2026-09-01 03:04:24,90632,0,100,7368,24576,52,246.25
2026-09-01 03:04:29,90637,0,100,7368,24576,52,247.06
2026-09-01 03:04:34,90642,0,100,7368,24576,52,248.64
